lambda,time,mu1,mu2,cov11,cov12,cov22
-0.9,8.418418418418419,-1.2943784752776122,1.684152469205928,0.005138317381652934,-0.0029171853262572687,0.027963660830551466
-0.9,8.428428428428429,-1.2938588977861636,1.6840350030541278,0.0051384438122769995,-0.0028530764627586586,0.028000842595111413
-0.9,8.438438438438439,-1.2943125328820557,1.6835266928139185,0.0050932063440019635,-0.0028483699133979835,0.0279950448418225
-0.9,8.448448448448449,-1.2943522420944877,1.6834150331265938,0.005056112119240426,-0.002824335801262295,0.028002920986003054
-0.9,8.458458458458459,-1.2947313456248766,1.6835568214730072,0.004989105742772068,-0.0027189339466255997,0.028001864892263986
-0.9,8.468468468468469,-1.294831323737285,1.6834958507561748,0.004963804915642216,-0.002708028033515273,0.027934344808316202
-0.9,8.478478478478479,-1.294886134167024,1.682940193849307,0.0049842245751675306,-0.002717564239863748,0.027887348550855583
-0.9,8.488488488488489,-1.295581160973741,1.683234912293226,0.0050222968834914995,-0.002649188348508174,0.0278883103659303
-0.9,8.498498498498499,-1.2960512984651178,1.683337092086511,0.005063290564508497,-0.0026884150896522097,0.027923730107087732
-0.9,8.508508508508509,-1.2956911709834054,1.6835067086371833,0.00503522901301557,-0.0026850751932706793,0.02794049389787804
-0.9,8.518518518518519,-1.2950506973843037,1.6836113587901667,0.00506621390615616,-0.0026053762610024843,0.027809805358814745
-0.9,8.528528528528529,-1.294415680334591,1.6837209541245102,0.005089434304906794,-0.002610925782515157,0.027853877025428735
-0.9,8.538538538538539,-1.2940371869926885,1.684108789042059,0.0051376773599745885,-0.0026013165323803015,0.02791597366926752
-0.9,8.548548548548549,-1.2941135612296408,1.6845264781133853,0.0050922630276922795,-0.002562766078739831,0.027821767373037726
-0.9,8.558558558558559,-1.2944649675781412,1.6841630170890305,0.005150355550040877,-0.0026179886737357537,0.027818075965267572
-0.9,8.568568568568569,-1.2949382211674592,1.684493860136858,0.00510496419076247,-0.0026662361741700818,0.027664503428036027
